"PLAYER_NAME";"TEAM_ABBREVIATION";"AGE";"PTS";"AST";"REB";"OREB";"DREB";"TOV";"STL";"BLK";"FG_PCT";"FG3_PCT";"FT_PCT";"Peso";"Altura";"Position"
"Paul Millsap";"PHI";37;11;2,8;10,9;3,9;7;1,8;1;1,2;0,391;0,229;0,708;116,573144;2,0066;"C"
"Paul Reed";"PHI";23;13,8;1,9;10,9;5,2;5,7;1,2;3,9;1,7;0,563;0,25;0,429;95,25432;2,0574;"C"
"Paul Watson";"OKC";27;7,1;1,8;6,2;0,7;5,5;0,9;0,7;0,7;0,343;0,231;0,5;95,25432;1,9812;"SF"
"Payton Pritchard";"BOS";24;15,9;5;4,8;1,2;3,7;1,5;0,9;0,2;0,429;0,412;1;88,45044;1,8542;"PG"
"Petr Cornelie";"DEN";26;13,3;2,8;13,3;6,6;6,6;3,8;0,9;0,9;0,333;0,125;0,75;99,79024;2,1082;"PF"
"Precious Achiuwa";"TOR";22;13,9;1,7;9,9;3;6,8;1,8;0,8;0,9;0,439;0,359;0,595;110,222856;2,032;"C"
"Quentin Grimes";"NYK";22;12,6;2;4,3;1,1;3,2;1,3;1,4;0,5;0,404;0,381;0,684;95,25432;1,9304;"SG"
"Quinndary Weatherspoon";"GSW";25;14,7;2,5;6,9;1;5,9;1,5;0,5;0,5;0,571;0,2;1;92,98636;1,905;"SG"
"R.J. Hampton";"ORL";21;12,6;4,1;5;0,6;4,4;2,2;1,1;0,3;0,383;0,35;0,641;79,3786;1,9304;"SG"
"RJ Barrett";"NYK";22;20,9;3,1;6,1;1;5,1;2,2;0,6;0,2;0,408;0,342;0,714;97,068688;1,9812;"SF"
"Rajon Rondo";"CLE";36;9,6;8,8;5,6;0,8;4,8;3,5;1,5;0,3;0,386;0,352;0,731;81,64656;1,8542;"PG"
"Raul Neto";"WAS";30;13,8;5,7;3,5;0,3;3,2;2,1;1,4;0,1;0,463;0,292;0,769;81,64656;1,8796;"PG"
"Rayjon Tucker";"MIL";24;10,7;5,1;4,1;1,5;2,5;0,5;2;0;0,667;0,8;0,714;94,800728;1,905;"SG"
"Reggie Bullock Jr.";"DAL";31;11;1,6;4,6;0,6;3,9;0,8;0,8;0,3;0,401;0,36;0,833;92,98636;1,9812;"SF"
"Reggie Jackson";"LAC";32;19,5;5,5;4,2;0,6;3,6;2,7;0,8;0,2;0,392;0,326;0,847;94,347136;1,8796;"SG"
"Reggie Perry";"POR";22;17,7;2,3;9;2,9;6,2;2,1;1,7;1,2;0,506;0,188;0,6;113,398;2,032;"PF"
"Richaun Holmes";"SAC";28;15,7;1,6;10,6;3,1;7,5;1,9;0,6;1,4;0,66;0,4;0,778;106,59412;2,0574;"C"
"Ricky Rubio";"IND";31;16,5;8,3;5,2;0,6;4,7;3,3;1,8;0,3;0,363;0,339;0,854;86,18248;1,8796;"PG"
"Rob Edwards";"OKC";25;10;0;10;0;10;3,3;0;0;0,25;0,25;0;92,98636;1,9558;"SG"
"Robert Covington";"LAC";31;11,2;1,7;7,3;1,1;6,2;1,4;1,9;1,7;0,42;0,378;0,841;94,800728;2,0066;"PF"
"Robert Williams III";"BOS";24;12,1;2,4;11,7;4,7;7;1,3;1,1;2,7;0,736;0;0,722;112,944408;2,0574;"C"
"Robert Woodard II";"SAS";22;6;2,6;9,4;4,3;5,1;0,9;0,9;0,9;0,125;0,25;1;106,59412;1,9812;"SF"
"Robin Lopez";"ORL";34;14,9;3,2;7,4;4;3,4;2,6;0,1;1,1;0,553;0,333;0,593;127,459352;2,159;"C"
"Rodney Hood";"LAC";29;8,3;1,9;3,9;0,8;3,1;0,6;0,8;0,3;0,369;0,33;0,895;94,347136;2,032;"SF"
"Rodney McGruder";"DET";30;13;2,3;5,3;1,5;3,8;1,1;1;0,3;0,436;0,397;0,731;92,98636;1,9304;"SG"
"Romeo Langford";"SAS";22;10,2;1;5;1,4;3,6;0,7;1;0,7;0,435;0,341;0,548;97,975872;1,9558;"SG"
"Royce O'Neale";"UTA";29;8,5;2,9;5,5;1;4,5;1,2;1,3;0,5;0,457;0,389;0,804;102,511792;1,9812;"SF"
"Ruben Nembhard Jr.";"CLE";23;8,6;6,9;4;1,7;2,3;1,7;0,6;0;0,333;0;0,75;90,7184;1,9304;"SG"
"Rudy Gay";"UTA";35;15,5;1,9;8,4;1,9;6,5;1,6;0,9;0,7;0,414;0,345;0,785;113,398;2,032;"PF"
"Rudy Gobert";"UTA";30;17,4;1,2;16,4;4,1;12,3;2;0,8;2,3;0,713;0;0,69;117,026736;2,159;"C"
"Rui Hachimura";"WAS";24;18,1;1,8;6,1;1;5,2;1,3;0,9;0,3;0,491;0,447;0,697;104,32616;2,032;"PF"
"Russell Westbrook";"LAL";33;19,4;7,4;7,8;1,5;6,3;4;1;0,3;0,444;0,298;0,667;90,7184;1,9304;"PG"
"Ryan Arcidiacono";"NYK";28;7,6;1,9;3,8;0;3,8;1,4;0,5;0;0,5;0,444;0;88,45044;1,905;"PG"
"Saben Lee";"DET";23;12,4;6,4;5,2;1,1;4,1;2,1;2,1;0,7;0,39;0,233;0,789;83,007336;1,8796;"PG"
"Saddiq Bey";"DET";23;17,6;3,1;5,9;1,4;4,4;1,3;1;0,2;0,396;0,346;0,827;97,52228;2,032;"SF"
"Sam Dekker";"TOR";28;0;0;0;0;0;0;0;0;0;0;0;99,336648;2,032;"PF"
"Sam Hauser";"BOS";24;14,8;2,3;6,6;1,1;5,5;0,5;0,2;0,5;0,46;0,432;0;98,429464;2,0066;"SF"
